id	conversation_id	created_at	date	time	timezone	user_id	username	name	place	tweet	language	mentions	urls	photos	replies_count	retweets_count	likes_count	hashtags	cashtags	link	retweet	quote_url	video	thumbnail	near	geo	source	user_rt_id	user_rt	retweet_id	reply_to	retweet_date	translate	trans_src	trans_dest
1490405846672678914	1490405846672678914	2022-02-07 00:53:38 IST	2022-02-07	00:53:38	+0530	71370894	adamcooperf1	Adam Cooper		Some fun things in this garage. Not least that jacket...:  https://t.co/85iOKmlilS	en	[]	['https://twitter.com/boniphoto_/status/1490351182715527170?s=20&t=WDbE8nqcGy5qOJqoYfbcLg']	[]	3	2	23	[]	[]	https://twitter.com/adamcooperF1/status/1490405846672678914	False	https://twitter.com/boniphoto_/status/1490351182715527170?s=20&t=WDbE8nqcGy5qOJqoYfbcLg	0								[]				
1490403550970658819	1490403550970658819	2022-02-07 00:44:31 IST	2022-02-07	00:44:31	+0530	71370894	adamcooperf1	Adam Cooper		"RT @Motorsport: Mercedes says it is ""absolutely desperate"" to see how its 2022 #F1 engine performs on track, having made a number of change…"	en	[{'screen_name': 'motorsport', 'name': 'motorsport.com', 'id': '36339032'}]	[]	[]	0	15	0	['f1']	[]	https://twitter.com/adamcooperF1/status/1490403550970658819	False		0								[]				
1490403029811613698	1490403029811613698	2022-02-07 00:42:27 IST	2022-02-07	00:42:27	+0530	71370894	adamcooperf1	Adam Cooper		RT @Motorsport: Red Bull team principal Christian Horner attended an FIA stewards’ training programme after making comments about a 'rogue…	en	[{'screen_name': 'motorsport', 'name': 'motorsport.com', 'id': '36339032'}]	[]	[]	0	9	0	[]	[]	https://twitter.com/adamcooperF1/status/1490403029811613698	False		0								[]				
1490385228896026633	1490385228896026633	2022-02-06 23:31:43 IST	2022-02-06	23:31:43	+0530	71370894	adamcooperf1	Adam Cooper		Always liked the Nissan Figaro, it was still new when I lived in Japan 30 years ago. Not sure I'd choose the pink and hearts livery though!:  https://t.co/P46pN3O1at	en	[]	[]	['https://pbs.twimg.com/media/FK7pdZvXIAcsyuj.jpg']	3	1	38	[]	[]	https://twitter.com/adamcooperF1/status/1490385228896026633	False		1	https://pbs.twimg.com/media/FK7pdZvXIAcsyuj.jpg							[]				
1490344699332378625	1490344699332378625	2022-02-06 20:50:40 IST	2022-02-06	20:50:40	+0530	71370894	adamcooperf1	Adam Cooper		Bit of everything in London today, wind, rain, sun, clouds... Thames as choppy as the North Sea!  https://t.co/clWpOsmYQK	en	[]	[]	['https://pbs.twimg.com/media/FK7El5rWUAMRgvR.jpg']	3	4	41	[]	[]	https://twitter.com/adamcooperF1/status/1490344699332378625	False		1	https://pbs.twimg.com/media/FK7El5rWUAMRgvR.jpg							[]				
1490327774497853440	1490327774497853440	2022-02-06 19:43:25 IST	2022-02-06	19:43:25	+0530	71370894	adamcooperf1	Adam Cooper		Intriguing insight from @MercedesAMGF1's engine boss Hywel Thomas on how power units have been optimised for the way 2022 F1 cars have to be driven:  https://t.co/gng5XPgUQc	en	[{'screen_name': 'mercedesamgf1', 'name': 'mercedes-amg petronas f1 team', 'id': '26235265'}]	['https://www.autosport.com/f1/news/mercedes-absolutely-desperate-to-see-2022-f1-power-unit-run/7926547/']	[]	0	4	19	[]	[]	https://twitter.com/adamcooperF1/status/1490327774497853440	False		0								[]				
1490313104995110912	1490313104995110912	2022-02-06 18:45:07 IST	2022-02-06	18:45:07	+0530	71370894	adamcooperf1	Adam Cooper		"'@redbullracing boss Christian Horner has completed his ""community service"" for the FIA after he criticised a flag marshal in Qatar last year:  https://t.co/yQhnFcpS8H"	en	[{'screen_name': 'redbullracing', 'name': 'red bull racing', 'id': '226087776'}]	['https://www.motorsport.com/f1/news/horner-fulfils-qatar-f1-gp-rogue-marshal-offence-obligation/7930128/']	[]	0	2	20	[]	[]	https://twitter.com/adamcooperF1/status/1490313104995110912	False		0								[]				
1490119305261948932	1490119305261948932	2022-02-06 05:55:02 IST	2022-02-06	05:55:02	+0530	71370894	adamcooperf1	Adam Cooper		RT @autosport: The 2022 #F1 rules have already been a big challenge for teams.   But a change in fuels, according to @MercedesAMGF1, has be…	en	[{'screen_name': 'autosport', 'name': 'autosport', 'id': '20517081'}, {'screen_name': 'mercedesamgf1', 'name': 'mercedes-amg petronas f1 team', 'id': '26235265'}]	[]	[]	0	4	0	['f1']	[]	https://twitter.com/adamcooperF1/status/1490119305261948932	False		0								[]				
1490114964287336457	1490114964287336457	2022-02-06 05:37:47 IST	2022-02-06	05:37:47	+0530	71370894	adamcooperf1	Adam Cooper		RT @autosport: In other FIA news, ex-McLaren F1 sporting chief Sam Michael has become the head of the Safety Commission:   https://t.co/GJH3…	en	[{'screen_name': 'autosport', 'name': 'autosport', 'id': '20517081'}]	[]	[]	0	13	0	[]	[]	https://twitter.com/adamcooperF1/status/1490114964287336457	False		0								[]				
1490114942976073728	1490114942976073728	2022-02-06 05:37:42 IST	2022-02-06	05:37:42	+0530	71370894	adamcooperf1	Adam Cooper		RT @autosport: New FIA president Mohammed Ben Sulayem has started to reform the organisation, including a search to recruit a CEO  Here's t…	en	[{'screen_name': 'autosport', 'name': 'autosport', 'id': '20517081'}]	[]	[]	0	8	0	[]	[]	https://twitter.com/adamcooperF1/status/1490114942976073728	False		0								[]				
